话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
 , , , , , , , , , ,5282924179,今日佘山,m,2021/04/25,17:30:49,转发
 , , , , , , , , , ,3489475051,大帅哥火星杀手,m,2021/04/25,12:12:08,可怕，人间地狱。感谢党，感谢国家。
 , , , , , , , , , ,2398250143,毗耶灵石,m,2021/04/25,07:03:38,幸好有喜马拉雅山挡住他们
 , , , , , , , , , ,2398250143,毗耶灵石,m,2021/04/25,07:02:39,啥失控，只不过是现在才报道而已，你信他去年控制得了？
 , , , , , , , , , ,6290086640,吧啦吧啦雨121,f,2021/04/25,06:39:44,净报道写没有用哒！
 , , , , , , , , , ,1704223795,黎小牛梓萱,m,2021/04/25,06:16:15,这回不分种姓了
 , , , , , , , , , ,2803626381,巴拉巴拉女妖精,f,2021/04/25,04:56:16,真行啊，直接解决人口问题，淦
 , , , , , , , , , ,2093733871,米汤更有营养,m,2021/04/25,00:43:49,因为他们玩牛屎喝恒河水
 , , , , , , , , , ,6710747868,小风风呀air,m,2021/04/25,00:35:17,你们在这起啥哄啊？人家自己的政府都不严格管控，领袖还到处搞竞选，民众一起过大节，现在严重了怪谁呢？
https://m.weibo.cn/detail/4630858680763225,【#美股财报密集出炉# 疫情重燃引发投资者担忧，欧洲三大股市全线下跌】美国时间周二，美股三大指数开盘后小幅下行，随后走势分化，波动幅度有限。截至当天收盘，道指微涨0.01%，标普500指数微跌0.02%，纳指收跌0.34%。美股财报密集出炉 谷歌母公司一季度营收同比大涨周二美股财报密集发布。其中，谷歌的母公司Alphabet今年第一季度营收为553.1亿美元，较去年同期增长了34%，财报公布后其股价盘后涨超3%。美国超威半导体公司AMD今年第一季度营收34.5亿美元，同比增长93%，财报公布后该公司股价同样上涨近4%。市场等待美联储货币政策决议 观望情绪较浓美联储从当地时间周二开始召开为期两天的货币政策会议，并将于北京时间本周四凌晨公布利率决议。周二市场观望情绪较浓，预计美联储不大可能改变之前的政策立场，但会关注其是否会暗示开始缩减购债规模。疫情重燃引发投资者担忧 欧洲三大股市27日全线下跌欧洲三大股市在周二全线收跌。其中，伦敦股市收跌0.26%，巴黎股市跌0.03%，法兰克福股市跌0.31%。市场继续关注新冠疫情，尤其是印度新增确诊病例激增的严峻形势。疫情重燃引发投资者担忧经济复苏的信心。此外，瑞银27日公布了2021财年第一季度财报。在Archegos Capital爆仓事件对业绩造成打击的情况下，瑞银第一季度仍录得18亿美元的净利润。尽管净利润超过预期，但由于受Archegos影响程度出乎投资者意料，瑞银周二股价一度大跌逾3%。 国际油价27日上涨原油价格周二上涨，6月交货的纽约轻质原油期货价格报收于每桶62.94美元，6月交货的布伦特原油期货价格收于每桶66.42美元。不过有分析人士指出，虽然欧美地区的疫情有所缓解，原油需求有望得到提振，但是印度及日本等国疫情反弹，因此亚洲地区的原油需求将受到影响，短期内原油走势缺乏明显反弹动力。 国际金价27日微幅下跌国际金价周二微幅下跌0.07%，纽约商品交易所6月交货的黄金期货价格报收于每盎司1778.8美元。（记者 张曼曼）  央视财经的微博视频 ,2258727970,央视财经,m,2021/04/28,07:30:08,23,3,52, , , , , , 
话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
https://m.weibo.cn/detail/4789260354326373,【#外卖小哥拆硕士录取通知时生病父亲泪崩#】7月7日，26岁河南小哥高帅旗送餐路上收到上海交大法学院录取通知书。回家后，全家人一起认真拆开，脑梗后不认得人的父亲，看到孩子姓名后落泪。因为家庭变故，高帅旗一人扛起家庭重担，他边学习边送外卖，自强靠谱被称“骑手阿甘”。据介绍，高帅旗是一名退伍军人，考法律专业是为了以后帮助更多人。#外卖小哥路上收到研究生录取通知# 猛犸新闻的微博视频,1672519561,猛犸新闻,f,2022/07/09,10:01:51,39982,11931,282542, , , , , , 
 , , , , , , , , , ,5493927767,烈女不怕si,f,2022/07/09,11:38:55,这可是上交啊 太牛了
 , , , , , , , , , ,5994718032,究极无敌吃瓜马甲,f,2022/07/09,11:39:04,真棒！
 , , , , , , , , , ,3203059503,夏奇拉爱自由,f,2022/07/09,11:38:52,看到了满满的生命的活力，军人的毅力
 , , , , , , , , , ,7234044441,刘守儿童WQW,f,2022/07/09,12:50:37,河南这么卷能考上上交真的很厉害
 , , , , , , , , , ,7376641553,猫猫又辣又甜,f,2022/07/09,11:40:40,棒棒的
 , , , , , , , , , ,7376641553,猫猫又辣又甜,f,2022/07/09,11:40:14,励志好棒
 , , , , , , , , , ,1837755690,sherry_yyzz,f,2022/07/09,11:40:43,越努力越幸运！好棒！了不起！
 , , , , , , , , , ,2316351777,晒阳阳的猫咪,f,2022/07/09,12:50:49,你以上交为荣，上交同样以你为荣
 , , , , , , , , , ,1270118127,pinkpeggy,f,2022/07/09,11:40:44,看哭了！真棒👍
 , , , , , , , , , ,7675103381,每一天都是晴天20210818,f,2022/07/09,11:38:39,愿生活待他好
 , , , , , , , , , ,7473567670,缡樾LLLL,f,2022/07/09,11:40:35,上交，好牛
 , , , , , , , , , ,6359191422,KKKK大魔王_,f,2022/07/09,11:41:00,太牛了！！
 , , , , , , , , , ,5662590426,TWWROSIVAN,f,2022/07/09,11:40:55,太不容易了
 , , , , , , , , , ,1222881521,烨十四,f,2022/07/09,12:50:52,这才是励志的牛逼人生！
 , , , , , , , , , ,6105480527,颖颖子是最好的,f,2022/07/09,11:38:52,这也太让人佩服了
 , , , , , , , , , ,2614202597,山南水北一清明,f,2022/07/09,12:50:54,感人，竟然差点哭出来
 , , , , , , , , , ,2519298782,美人无霜,f,2022/07/09,11:36:59,好优秀，加油
 , , , , , , , , , ,7378314025,丢失的你还找得回来吗,f,2022/07/09,12:50:54,人生的酸甜苦辣只有自己知道，为你点赞
 , , , , , , , , , ,3844210786,蚊子的天堂52,f,2022/07/09,11:38:58,好样的
 , , , , , , , , , ,3371818304,以简驭繁116,f,2022/07/09,11:38:02,这小哥励志啊！
https://m.weibo.cn/detail/4789987198110377,以影像为帆，和创作者并肩，很荣幸成为#FIRSTFRAME第一帧#单元年度推介人，见证入选2022年FIRST FRAME片单的9部作品，很开心能与这些发光的未来力量站在一起，让鲜活的影像抵达更广阔人群。#FIRST青年电影展# ,5492443184,UNIQ-王一博,m,2022/07/11,10:10:04,"""100万+""",332728,1692393, , , , , , 
 , , , , , , , , , ,1865909883,八时零五,f,2022/07/11,10:10:31,哥哥好帅啊
 , , , , , , , , , ,2794157404,王一宝2086,f,2022/07/11,10:10:43,宝贝
 , , , , , , , , , ,7464851260,纵是黑夜也满路长灯明,f,2022/07/11,10:10:49,王一博♡ 即使有一天我的周遭全部褪色，也依旧有你这颗星星浪漫干净，闪烁月在我身上@UNIQ-王一博
 , , , , , , , , , ,2522391383,YIBO·9785,f,2022/07/11,10:11:17,老公老公老公老公
 , , , , , , , , , ,5038170754,CICI-M小姐,f,2022/07/11,10:10:09,宝贝今天晚上邀请你去赏月呀，带你你去看咱俩的两情相悦
 , , , , , , , , , ,6060658738,红孩儿er先生的蓝二夫人·,f,2022/07/11,10:10:10,老公贴贴！
 , , , , , , , , , ,7623299387,会是你的铠甲,f,2022/07/11,10:10:56,超想你，一博会去现场吗
 , , , , , , , , , ,6342003294,Lynn流萤,f,2022/07/11,10:11:02,哥哥，好期待呀
 , , , , , , , , , ,2180438781,你的好物分享菌,f,2022/07/11,10:12:07,想你想你想你
 , , , , , , , , , ,7494562842,85号耶啵耶啵哒,f,2022/07/11,10:12:43,哦哦哦哦！！！
 , , , , , , , , , ,5507209535,云飞舞云飞扬,f,2022/07/11,10:10:12,期待你的电影作品
 , , , , , , , , , ,2206388695,不可能的我可能,m,2022/07/11,10:12:01,王一博想你一次，好像星星就多了一颗的样子
 , , , , , , , , , ,7303612698,一眼万年只因是你,f,2022/07/11,10:11:57,早安，宝贝
 , , , , , , , , , ,7309865193,佰佰佶,m,2022/07/11,10:12:28,好棒！一起期待
 , , , , , , , , , ,1745011954,属牛的猪豹豹,m,2022/07/11,10:12:15,王一博
 , , , , , , , , , ,5605137331,大大大大大笑脸,f,2022/07/11,10:12:27,好期待啊啊啊！
 , , , , , , , , , ,5038170754,CICI-M小姐,f,2022/07/11,10:10:18,这世界上有五种风 台风 龙卷风 北风 东风 还有王一博一如既往的玉树临风
 , , , , , , , , , ,6060658738,红孩儿er先生的蓝二夫人·,f,2022/07/11,10:10:14,想你啊，啊，啊！
 , , , , , , , , , ,5985345072,酷YiBo,f,2022/07/11,10:10:11,宝贝！
 , , , , , , , , , ,6148621116,月亮哪有王甜甜可爱,m,2022/07/11,10:10:11,宝贝
https://m.weibo.cn/detail/4789252342680530,【#打耳洞都怕疼的姑娘为同学挡了8刀#】“我们俩都活着，就是最好的结局”…2019年3月10日晚，崔译文为了保护同学，身中8刀，凶手逃走后，她一边帮同学止血，一边给辅导员打电话。崔译文在ICU抢救了3天才转危为安。当兵28年的硬汉父亲看见遍体鳞伤的女儿时都忍不住落泪，可崔译文还一个劲安慰父母，并说“如果再选一次，我还是会冲上去。”2022年，她获得了“全国向上向善好青年”荣誉称号。她还在家乡浙江宁波奉化成立志愿服务队，“之前的人生已经归零，划上了句号。接下来要有新的开始，要更加努力、积极向上为社会作出更大的贡献”。#正能量计划#（共青团中央）一个打耳洞都怕疼的姑娘，为同学挡了8刀…… 人民网的微博视频,2286908003,人民网,m,2022/07/09,09:30:01,17545,10181,487627, , , , , , 
 , , , , , , , , , ,1712171725,小扣不想有烦恼,f,2022/07/09,21:33:18,这个姑娘真的太勇敢太伟大了，敬佩！，愿你余生平安健康幸福，一切顺利！
 , , , , , , , , , ,2438314183,叮当雅820426,f,2022/07/09,21:41:25,孩子你太棒了但还是希望你能先保护好自己
 , , , , , , , , , ,2952095660,许我热烈且真挚,f,2022/07/09,20:30:39,“都活着就是最好的结局”
 , , , , , , , , , ,6681637975,佛前敬上一柱香,f,2022/07/09,20:30:36,这个我不赞的话，我都觉得我良心不安，姑娘你是真的仙女，
 , , , , , , , , , ,2210495362,fionakira,f,2022/07/09,21:00:28,勇敢的姑娘，被救的姑娘也很棒，不像江歌那么惨，哎！
 , , , , , , , , , ,2173486921,许妙喵,f,2022/07/09,20:37:49,想起了江歌
 , , , , , , , , , ,7661713282,最美送行者,f,2022/07/09,21:24:59,唐山被打的女孩们呢？大家都忘了吧
 , , , , , , , , , ,2516278550,XXSS_Trytosleepearly,f,2022/07/09,20:15:30,好勇敢…希望歹徒能重判
 , , , , , , , , , ,6393446561,三里sunny,f,2022/07/09,20:38:31,犯罪成本太低了
 , , , , , , , , , ,1625905145,奈何我仍是我,m,2022/07/09,20:26:10,//@方圆500里的西瓜:这是真的军二代吧，比那些所谓的“红二代”强多了
 , , , , , , , , , ,6084073955,小言言心里都是羊,f,2022/07/09,21:04:47,敬佩
 , , , , , , , , , ,2534663370,肖战说要和王一博来日方长,m,2022/07/09,20:12:51,太勇敢了！佩服！然后凶手呢？
 , , , , , , , , , ,3668884001,我叫孟知意啦,f,2022/07/09,20:12:26,真的很勇敢 但不要鼓吹这种行为啊 有危险快点儿跑 能跑多快跑多快
 , , , , , , , , , ,7472572652,你得先是个人,f,2022/07/09,20:29:43,她真的太勇敢了！
 , , , , , , , , , ,7007952535,夹心饼干永远最爱,m,2022/07/09,21:41:34,支持死刑
 , , , , , , , , , ,3033784147,刘二言,f,2022/07/09,20:12:47,军人的孩子！！！！
 , , , , , , , , , ,7374649059,甯檬味的贝壳,f,2022/07/09,20:40:38,希望凶手被严惩，小姐姐这么好看千万别留疤啊啊啊啊啊！这么好看而且还又红又正能量啊啊啊啊我真的想象不到被捅八刀会有多痛我打过耳洞，但被不小心剌一下都痛到哭
 , , , , , , , , , ,7710162368,蒙蒙说好的阳艳天,f,2022/07/09,20:53:39,都活着就是最好的结局，姑娘勇气可嘉！
 , , , , , , , , , ,6660250561,落雪叔叔,m,2022/07/09,21:25:55,刘鑫案？
 , , , , , , , , , ,1847767050,易勋_猫,f,2022/07/09,20:38:22,勇敢的姑娘
https://m.weibo.cn/detail/4791139485878389,#我的夏日ootd# 🌴 ,5653796775,赵露思的微博,f,2022/07/14,14:28:51,102603,52503,421194, , , , , , 
 , , , , , , , , , ,1627768430,霸小欣_,f,2022/07/14,14:29:19,终于发啦啦啦啦
 , , , , , , , , , ,6589838250,八个芽侓,f,2022/07/14,14:29:07,宝宝被我亲死
 , , , , , , , , , ,5108447063,什么爱不爱的烦死啦,f,2022/07/14,14:31:14,看着就好开心啊
 , , , , , , , , , ,6519175278,小脑袋-嗡嗡的,f,2022/07/14,14:32:16,玩的开心
 , , , , , , , , , ,6607315398,一醉解芊愁_,f,2022/07/14,14:40:31,图三这样的图以后可以多一点吗
 , , , , , , , , , ,7591242281,咸鱼的事业心,f,2022/07/14,14:37:08,玩得开心啊宝
 , , , , , , , , , ,7733196685,叶露芊,f,2022/07/14,14:42:37,老婆爱你
 , , , , , , , , , ,7482025418,可露丽的小迷妹,f,2022/07/14,14:34:48,露思得增高鞋
 , , , , , , , , , ,7701087494,夙念清云曦,f,2022/07/14,14:47:16,宝贝玩的开心哟
 , , , , , , , , , ,7720895227,隔壁阿雕叫巴拉养乐多不多,f,2022/07/14,14:29:10,啊啊啊啊啊动图！
 , , , , , , , , , ,7739859820,赵露思是我的首选,f,2022/07/14,14:51:55,又去哪里玩了呀
 , , , , , , , , , ,1597664744,阿星不会唱小星星,f,2022/07/14,14:29:20,啊啊啊啊啊宝贝！！！
 , , , , , , , , , ,5639150657,倾露·Rosy,f,2022/07/14,14:54:22,好爱
 , , , , , , , , , ,7694338519,一颗小露,f,2022/07/14,14:29:26,老婆！！！！
 , , , , , , , , , ,7276111002,超爱露思LS,f,2022/07/14,14:56:46,老婆老婆[奋斗]
 , , , , , , , , , ,7025651998,懒熊蛋蛋_,f,2022/07/14,14:29:25,老婆玩得开心爱你宝宝
 , , , , , , , , , ,7551925877,岱山非鵼,f,2022/07/14,14:29:32,是我的快乐露露  天天开心
 , , , , , , , , , ,7203650475,八十万丶,m,2022/07/14,14:29:25,老婆我爱你
 , , , , , , , , , ,7759526087,是星星露,f,2022/07/14,15:02:54,宝贝好开心呀
 , , , , , , , , , ,2874051670,只会啊的啊啊怪,f,2022/07/14,14:29:20,宝贝啊啊啊啊
https://m.weibo.cn/detail/4791473222979657,7月14，重庆，一名男子高温天气奋力拉货上坡，一路人把奶茶交给孩子后默默上前帮忙 #今年夏天能有多热##四川南充1热射病患者死亡#胜利主义章北海的微博视频 ,2281157913,胜利主义章北海,f,2022/07/15,12:35:00,18395,3289,111946, , , , , , 
 , , , , , , , , , ,7674274735,呼呼小廉濂,f,2022/07/15,12:39:35,上个月在街上看到6个大哥在修路，买了6杯奶茶给他们喝，太热
 , , , , , , , , , ,1681132297,我是贪睡的小喵喵,f,2022/07/15,13:41:39,能帮一把真的要帮。我上学时候看到一个大爷拉车上坡，我想去帮，犹豫了没去。事情过去快二十年了，我还经常愧疚。真的，除非你根本没有这个帮的念头，如果有一点点念头，那就出手吧。
 , , , , , , , , , ,7739422636,jacob小疯,m,2022/07/15,12:38:04,早上也帮了一大妈把车推上鼓山大桥，大妈走错路骑车上一半鼓山大桥，电动车坏了，顺手帮她推上去。
 , , , , , , , , , ,1849548844,漏屁屁爱_酱麻麻,f,2022/07/15,13:11:24,我一女的也经常帮人做这种事自己也不会很累 却帮了人家大忙，何乐不为呢。
 , , , , , , , , , ,2712077607,毛毛属耗子,m,2022/07/15,12:59:37,幸亏有简体中文标志等，要不又变成日本的了。
 , , , , , , , , , ,6299157232,P-ping蓱,f,2022/07/15,16:38:27,善良的人们还是哪里都有，晚上看一老大爷卖的菜都不太新鲜了，我还是买了。
 , , , , , , , , , ,6466654715,霄凌傲雪,f,2022/07/15,23:14:18,多发点这种，我爱看 我相信这个社会还是善意满满的
 , , , , , , , , , ,2029262127,流水席首席饭桶,m,2022/07/15,12:37:12,高温下的劳动者，没有10w的报酬
 , , , , , , , , , ,5831236748,东宫太子太傅,m,2022/07/15,12:36:41,但行好事不问前程，给孩子树立榜样，
 , , , , , , , , , ,7512590822,深柳亭,m,2022/07/15,12:35:59,辛苦的劳动者。。话说对于孩子来说，也是一次教育。
 , , , , , , , , , ,7717961942,哒哒哒没名字怎么办,f,2022/07/15,12:38:29,这种行为就是最好的教育，潜移默化的影响孩子。
 , , , , , , , , , ,6598732718,milo仓,m,2022/07/15,12:55:31,摆拍？有这么巧？
 , , , , , , , , , ,3219378917,婆老头,f,2022/07/15,12:39:25,以身作则！好爸爸！
 , , , , , , , , , ,1087147471,只希望我的宝贝好起来,f,2022/07/16,11:06:14,不管生活有多难 都要坚持下去儿子在医院危在旦夕，人生才刚刚开始啊，每次医院催交费时信用卡透支，两个口袋空空如也，别提这心里啥滋味了如果可以一命抵一命，天堂的门口已经站满了排队的爸妈，帮我救救我的孩子，给孩子一次重生的机会🙏我实名了公益平台放在微博了，涅槃重生，此恩永记。
 , , , , , , , , , ,3858574035,想个破名想半天丶,f,2022/07/15,12:56:28,新闻：女子在法国因一周工作40小时被谈话，法国一年休息144天，不休完还发钱。
 , , , , , , , , , ,1640811381,倩人丽行,f,2022/07/15,12:44:20,拉货的买个电动三轮会好很多吧，也不贵，一个月工资就能买一个。
 , , , , , , , , , ,3983742371,丶青梅如斯,f,2022/07/15,12:38:52,总有这么多善良的平凡人
 , , , , , , , , , ,7497825846,夏不离春不来,m,2022/07/15,12:36:33,言传身教
 , , , , , , , , , ,7270317434,深海狸喵,f,2022/07/15,12:46:53,这位家长用自己的实际行动给孩子上了一堂爱心教育课。点赞👍
 , , , , , , , , , ,1817437721,浅浅笑的小鱼,f,2022/07/15,14:15:55,帮忙的路人被拍到是因为帮忙吧，很明显打算拍的是劳动者的艰辛，没想到有人帮忙成了意外收获。有的人真是让我见识到了物种的多样性了
https://m.weibo.cn/detail/4790013893546728,【#武汉大学一例霍乱病例情况#】#武大一例霍乱病例病情已控制#7月9日晚，武昌区疾控中心接医院报告，武汉大学出现一例感染性腹泻病例，以呕吐腹泻为主，伴低热，血清学凝集试验为O139阳性。经省市区三级疾控中心复核，该病例的血清学凝集试验为O139阳性，诊断为霍乱，毒力基因阴性。患者经有效诊治，病情已得到控制，症状已消失。已组织专业机构对相关人员进行采样检测和跟踪管理，对相关场所进行临时封控管理和消毒处置，目前未发现新增病例。,2803301701,人民日报,m,2022/07/11,11:56:09,21139,31050,476802, , , , , , 
 , , , , , , , , , ,5843531187,会旋转的鸡屁股超酷的,m,2022/07/11,11:56:56,感觉特别古早的词…大概就像天花一样久远 这世界不能再扯淡了……
 , , , , , , , , , ,6901517240,阿拉斯加男主小白,f,2022/07/11,11:56:36,这个世界随时都要崩塌
 , , , , , , , , , ,1876836331,Seven__Q__,f,2022/07/11,11:56:19,我看说这病是被污染的水源和海产品 要是水源 全校的学生得病的几率大大增加啊
 , , , , , , , , , ,6465534888,从月亮身边路过,f,2022/07/11,11:56:50,真的是霍乱，要注意卫生
 , , , , , , , , , ,3866022191,高速行驶的封闭货车,f,2022/07/11,11:57:33,我的妈呀，已经诊断为霍乱吗。。。大家都注意安全
 , , , , , , , , , ,5326906166,一母0,f,2022/07/11,12:12:44,离谱🙊🙊🙊这个世界越来越魔幻，我决定过好现在的每一天，以后什么样鬼知道
 , , , , , , , , , ,5407166616,小晗养成记,f,2022/07/11,11:56:51,大家注意安全
 , , , , , , , , , ,1732231310,蔚蓝是我眼光_,m,2022/07/11,12:07:10,天啊…又是武汉，武汉太惨了…赶紧溯源，彻底消杀周边水源…
 , , , , , , , , , ,7448150311,Oneiro0,f,2022/07/11,11:56:38,卧槽注意防范
 , , , , , , , , , ,1828094771,Riseupwithardour,m,2022/07/11,11:56:53,霍乱的传染源是水源和食物吧
 , , , , , , , , , ,3296569781,风云梦远,m,2022/07/11,12:03:07,霍乱是仅有的两种甲类传染病之一（另一种是鼠疫，新冠肺炎是乙类甲管型之一）。但其实我国一直有零星霍乱病例，上一次是今年3月（广州）；在及时防控治疗下，霍乱传播很有限，且病死率极低。当地需要留意卫生条件和防范，但不必恐慌。
 , , , , , , , , , ,5987769424,Dairyuu·,f,2022/07/11,12:04:04,希望不要过上捅完上面捅下面的生活
 , , , , , , , , , ,5048381719,喜欢有钱bjyx,f,2022/07/11,11:56:56,一定要控制住啊
 , , , , , , , , , ,5654191106,L京山人儿,m,2022/07/11,11:59:21,美国的锅！他们必将搬起石头砸自己的脚、
 , , , , , , , , , ,7480379168,三分钟热度表演艺术家,f,2022/07/11,11:58:00,希望同学们都好好的
 , , , , , , , , , ,5532691072,Cat6rier,f,2022/07/11,11:56:18,蛙趣……
https://m.weibo.cn/detail/4790421836005964,#真的建议不要随便吃生腌#真的建议大家不要随便吃生腌海鲜，不要因为一时的嘴瘾给自己的身体带来伤害#带着微博去旅行##夏日解忧放映会# 夏木帆的微博视频 ,3024594685,夏木帆,f,2022/07/12,14:57:10,18337,9159,145736, , , , , , 
 , , , , , , , , , ,1822709251,高遥遥,m,2022/07/12,16:33:34,高蛋白的海鲜，暴露在高温下四五个小时，不变质才怪呢！这已经根本就不是生腌的问题了，你煮熟的东西放在35度半天一样中毒
 , , , , , , , , , ,1901763127,虎纹鲨鱼菠萝油,m,2022/07/12,16:10:56,我觉得除开生淹这种食物本身外，还有很大一个可能性是打包放太久，食物本身已经变质了。本身天气就热，还焖了三四个小时，还是生的东西，怎么想都不能吃
 , , , , , , , , , ,2247003493,刘青松的女友粉2333,f,2022/07/12,15:10:17,我在dy刷那个在泰国吃播的四国特工，他老是吃生腌我都给他捏一把汗
